person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Ionică Suciu,ionicăsuciu,ionicăsuciu@post.ro,8760104232411,1916-06-19,"Aleea Gheorghiu Nr. 309 Bl. 70  Sc. 63 Ap. 239, Calafat, 104720",0743 744 536,48:a9:51:eb:38:de,83.10.131.27,RO58ZOPT7053847280275870,2025-04-08 17:27:35,21170,785,378,1177478,9dbf32a2-0a40-4bf7-a477-ea51069547b2
Viorel Dobre,vioreldobre,vioreldobre@post.ro,5650513257113,2007-10-20,"Drumul Mazilescu Nr. 49 Bl. 29  Sc. 48 Ap. 235, Siria, 682812",0254 799 657,c0:92:a8:8f:1a:b9,56.166.208.92,RO37UXTU6104093070015039,2025-04-08 17:27:35,23766,306,284,1116185,d9f47e50-5de0-42b4-97d4-8f19ae50d2e1
Emanoil Toma,emanoiltoma,emanoiltoma@email.ro,2350107427870,2003-02-20,"Aleea Floare Ioniță Nr. 707 Bl. 39  Sc. 43 Ap. 692, Siria, 765684",0267 833 835,b2:32:47:04:14:21,28.48.221.227,RO31ZXSB3951498474725396,2025-04-08 17:27:35,30803,832,514,1394695,a2b475c1-a928-4d42-9ed7-011df2a5a9b1
Alida Dinu,alidadinu,alidadinu@post.ro,8651011049500,1956-02-27,"Soseaua Stancu Nr. 594 Bl. 83  Sc. 72 Ap. 908, Sannicolau Mare, 311549",0728 549 491,e0:2f:ea:20:80:11,10.205.231.30,RO57GQOX6990545916288309,2025-04-08 17:27:35,32049,820,140,665724,bacfd861-bc6f-4c1d-8a02-b8072e2c8c7d
Steluța Ionescu,steluțaionescu,steluțaionescu@zzup.ro,4120907183158,1934-06-30,"Aleea Elisabeta Ene Nr. 106, Curtea de Arges, 907926",0760 503 872,9c:48:d1:54:a0:ee,191.202.204.102,RO63SRFC3882689832378392,2025-04-08 17:27:35,24228,602,376,488623,ee082e8c-a66a-4a05-ab2b-af4dd8595573
Olivia Diaconescu,oliviadiaconescu,oliviadiaconescu@kappa.ro,4781108192948,2019-12-14,"Aleea Hortensia Pop, Draganesti-Olt, 349883",0722 269 409,0a:7c:7d:4a:77:f6,210.240.200.101,RO87JYNK2447254983197029,2025-04-08 17:27:35,31267,809,77,97334,54836d8d-0bde-41a3-939a-4fcd131394de
Petronela Stancu,petronelastancu,petronelastancu@141.ro,2710817305791,1957-06-13,"Intrarea Oprea Nr. 24 Bl. 76  Sc. 69 Ap. 661, Covasna, 200540",0755 629 062,c8:43:af:b4:c0:9b,25.130.43.71,RO09GMEV8000081288271256,2025-04-08 17:27:35,4599,736,676,291281,2718abb3-b4e3-4099-8214-1c8bdc84c951
Sabina Eftimie,sabinaeftimie,sabinaeftimie@zzup.ro,8650231455012,1967-03-31,"Drumul Stana Popa Nr. 51 Bl. 63  Sc. 63 Ap. 690, Baraolt, 719845",0761 745 391,f2:61:f0:25:75:94,123.244.184.58,RO20VWGR2722924651902375,2025-04-08 17:27:35,20043,209,400,318501,8af76b0c-8c16-44c1-ad19-539ff0f68afa
Mugurel Oprea,mugureloprea,mugureloprea@kappa.ro,4041222433641,1974-12-04,"Bulevardul Voicu Stoica, Timisoara, 506252",0737 010 281,14:3c:a8:3a:79:28,57.9.117.99,RO22VWUS7413475776172711,2025-04-08 17:27:35,31260,424,158,899203,cd504f3d-8925-4a28-83f8-a30a7dfe0afd
Tudora Preda,tudorapreda,tudorapreda@141.ro,7660512022008,1970-03-04,"Soseaua Barbu Nr. 32, Calarasi, 641412",0727 232 689,d0:ac:6b:98:a9:bd,199.143.189.165,RO03NUSQ9745256339814904,2025-04-08 17:27:35,307,364,678,1477811,12280b7e-aa74-482f-a7a7-09c663f7bace
Janina Aanei,janinaaanei,janinaaanei@zzup.ro,8400804463489,1942-05-03,"Intrarea Ionescu, Darmanesti, 372540",0762 896 969,d4:0f:e1:22:a5:a1,185.182.247.43,RO95PYLW1464649234218065,2025-04-08 17:27:35,20449,959,605,1269951,bf7988b0-d6de-409f-9426-ae0603fabcf4
Roza Ababei,rozaababei,rozaababei@post.ro,6850219232283,1924-02-02,"Intrarea Suciu Nr. 531, Baia Sprie, 626908",0786 233 968,3e:56:66:55:f5:74,132.49.36.178,RO37GQXB2176322706685774,2025-04-08 17:27:35,1363,362,359,1310651,d1778a0c-4047-41f0-acf5-21b04f5fde53
Stela Dinu,steladinu,steladinu@141.ro,1020325516849,1920-04-01,"Aleea Cosmina Dobre, Vicovu de Sus, 453481",0741 557 099,1c:fd:c0:cb:e4:8b,199.43.240.115,RO37GTPM9657653233135445,2025-04-08 17:27:35,23091,751,785,492076,ebc14f00-77c1-4e64-a8c7-51bbe91cdc48
Anaida Gheorghiu,anaidagheorghiu,anaidagheorghiu@zzup.ro,6040609087423,1977-07-04,"Soseaua Eftimie Nr. 19, Saveni, 668657",0252 732 614,b8:d4:72:2d:24:e6,100.156.203.226,RO36PAVE8366958585989855,2025-04-08 17:27:35,24599,609,551,292163,81173256-db3b-47c2-8927-c50f1982ccad
Raluca Nistor,ralucanistor,ralucanistor@email.ro,5330617204372,1977-04-20,"Drumul Ababei Nr. 39, Bragadiru, 613874",0725 314 606,98:0c:5b:d4:8f:e1,143.14.97.198,RO17CPWK1243369222222098,2025-04-08 17:27:35,9355,653,300,1117888,b6573e8d-50ca-4da3-9690-39fb971689f3
Aurel Albu,aurelalbu,aurelalbu@gmail.com,6640402252896,1954-12-08,"Intrarea Georgescu Nr. 608, Giarmata, 916162",0260 616 123,50:ac:de:d4:2e:76,61.250.164.206,RO28YHKA9573361867713322,2025-04-08 17:27:35,25415,964,572,425121,beaa49b3-a80a-4652-aa95-bae4843e0b65
Eustațiu Marin,eustațiumarin,eustațiumarin@zzup.ro,2701029381623,1955-02-03,"Drumul Manole, Medgidia, 505297",0232 911 645,88:57:d7:19:f7:71,106.3.101.74,RO35SLFX1728559948922550,2025-04-08 17:27:35,24359,232,407,1315183,0e5b2d52-48cd-4608-a99f-aa95479d3c3f
Cătălin Toma,cătălintoma,cătălintoma@post.ro,5670206449125,2002-08-09,"Aleea Dinu Nr. 74 Bl. 71  Sc. 15 Ap. 159, Nadlac, 904760",0728 317 676,9a:c5:a0:99:c1:f0,156.36.208.12,RO25DIMK9827029008830647,2025-04-08 17:27:35,23204,339,583,42101,b3400115-c477-4a72-93d2-133f3ac4eef3
Ariadna Cristea,ariadnacristea,ariadnacristea@zzup.ro,4240224168621,1921-02-04,"Strada Tomescu, Vlahita, 745313",0242 923 913,74:e0:c1:0c:2b:f6,163.46.182.195,RO12GGQE0221627225104878,2025-04-08 17:27:35,13803,890,269,445928,69e40451-c975-4034-a966-d28fca038ae3
Geanina Dima,geaninadima,geaninadima@zzup.ro,5580907389391,1974-08-22,"Aleea Clarisa Voinea Nr. 895, Calafat, 394263",0252 429 717,fa:72:4a:b6:9a:44,35.65.116.5,RO05GPYP7653247547990759,2025-04-08 17:27:35,23592,947,637,1585854,a38daa7c-ca0b-45c7-82e6-3636eebebfcc
Didina Suciu,didinasuciu,didinasuciu@zzup.ro,3891127178670,1916-06-21,"Soseaua Iulia Nemeș, Sebes, 933356",0269 017 253,58:81:05:82:5a:31,168.6.148.173,RO64NIZR6938123177876428,2025-04-08 17:27:35,9827,639,544,1220069,d24ec0a7-2412-4ff8-b26f-d464ae1c02ce
Adonis Ioniță,adonisioniță,adonisioniță@zzup.ro,1970907062284,1998-06-04,"Drumul Dida Stancu, Bals, 870287",0748 784 122,80:91:60:23:df:68,60.113.89.181,RO23TQVQ6329972676088476,2025-04-08 17:27:35,8447,126,410,48769,4f8f9ab9-1438-4e03-b647-eea77d053378
Florica Popescu,floricapopescu,floricapopescu@kappa.ro,8670311442959,1980-01-11,"Bulevardul Dinu Nr. 28, Blaj, 273189",0711 658 181,18:44:43:00:58:e0,132.158.75.29,RO96XVGG5335760803625579,2025-04-08 17:27:35,34448,890,258,1047796,e6089e73-c09e-457a-a239-962dd780672c
Doriana Nistor,doriananistor,doriananistor@acasa.ro,6310615191521,2005-03-29,"Aleea Călin Dochioiu Nr. 91 Bl. 49  Sc. 73 Ap. 548, Campina, 374669",0730 996 718,1c:9c:5f:22:c4:f7,190.58.34.111,RO74DRVR3763750205389648,2025-04-08 17:27:35,6453,897,475,1239470,fe3bf642-898a-4979-af13-267d50c65080
Marcheta Niță,marchetaniță,marchetaniță@kappa.ro,1510905063913,2019-05-06,"Strada Dochioiu Nr. 53, Savinesti, 254035",0268 375 397,ae:b3:3e:52:61:b9,176.1.189.157,RO15QCDW4021462248897462,2025-04-08 17:27:35,8692,970,420,1632909,0c771587-b6f6-426b-8c65-df850aa9e86d
Smaranda Dumitrescu,smarandadumitrescu,smarandadumitrescu@post.ro,5020703302816,2008-09-16,"Intrarea Dinu Nr. 969 Bl. 24  Sc. 93 Ap. 662, Pancota, 652022",0232 058 893,e6:86:3e:0c:db:a7,115.223.238.162,RO79ARCI9783554073095775,2025-04-08 17:27:35,4510,283,255,793565,8db2380d-84cd-4b2f-9250-a6f0cee9bbad
Luca Tudor,lucatudor,lucatudor@post.ro,8180711277839,2011-01-06,"Drumul Albertina Cristea Nr. 919 Bl. 29  Sc. 62 Ap. 152, Giroc, 461910",0242 710 704,9a:31:f3:4c:f3:7a,97.48.61.217,RO45AJDN7320809035640721,2025-04-08 17:27:35,14739,137,120,61286,33189c60-fdca-4f29-b32c-2c4e90dd0497
Sever Popa,severpopa,severpopa@email.ro,6840207162961,1984-12-07,"Soseaua Dumitrescu, Amara, 971312",0253 513 638,64:7d:b3:71:7f:d1,138.87.61.210,RO53WXJP8080163681147417,2025-04-08 17:27:35,20313,406,358,332958,52c44e61-c982-49f7-b339-c1ab93f13e6f
Gelu Popa,gelupopa,gelupopa@post.ro,7820826413374,1972-03-26,"Strada Mazilescu Nr. 154 Bl. 50  Sc. 91 Ap. 157, Branesti, 747993",0265 768 304,ac:fb:e9:b9:c5:b7,40.220.94.127,RO93YTTI1932284650405986,2025-04-08 17:27:35,29429,51,304,1282500,f27f5762-ae8a-461e-8401-dd4b5a460f5c
Ion Stan,ionstan,ionstan@zzup.ro,2040322091343,2022-06-03,"Soseaua Oprea Nr. 32 Bl. 53  Sc. 42 Ap. 513, Glina, 730072",0737 624 311,08:dc:df:33:45:ed,122.182.158.211,RO59ARTW7393299207106368,2025-04-08 17:27:35,34222,403,143,526764,31d5a616-c59e-4f1e-8c30-f74983bf9926
Paulina Tomescu,paulinatomescu,paulinatomescu@post.ro,4730409058429,1954-07-07,"Soseaua Ene Nr. 598, Barlad, 580716",0724 450 977,ea:05:37:a2:33:15,158.250.245.49,RO42HVGZ6100642901741858,2025-04-08 17:27:35,23747,60,549,395626,4580b1ac-6db9-4c07-b0c0-d62bb0a2dd74
Dafina Niță,dafinaniță,dafinaniță@kappa.ro,1320130089598,1953-02-14,"Strada Dumitrescu Nr. 243 Bl. 34  Sc. 80 Ap. 761, Diosig, 186550",0741 291 777,02:cf:84:f4:45:3e,129.230.158.251,RO89UBUZ3064063855629516,2025-04-08 17:27:35,16284,85,673,526514,6e2de5d9-2488-4316-93d0-e367d8b82895
Virginia Oprea,virginiaoprea,virginiaoprea@post.ro,4311120528109,1946-06-08,"Bulevardul Pop Nr. 540 Bl. 30  Sc. 70 Ap. 921, Miercurea-Ciuc, 403569",0771 901 093,c0:09:38:82:f9:f0,70.45.62.175,RO43EPCW3929422389101405,2025-04-08 17:27:35,6163,206,782,700037,2038ac5a-2989-40e9-843b-c149fde23b90
Ioanina Suciu,ioaninasuciu,ioaninasuciu@gmail.com,3860102234089,1955-08-09,"Soseaua Anda Stoica Nr. 32 Bl. 22  Sc. 20 Ap. 342, Tecuci, 635008",0748 469 729,50:04:ce:b9:86:14,33.125.52.44,RO91OHOS7632288521324946,2025-04-08 17:27:35,27332,392,119,1691045,0493bfe3-35bc-4dc9-855a-d3b098b8ab5c
Benone Dinu,benonedinu,benonedinu@kappa.ro,2860417462295,1933-02-22,"Strada Stan, Topoloveni, 587965",0235 548 908,26:0c:8d:3d:c8:b4,151.145.84.43,RO75IHZR5985314760515104,2025-04-08 17:27:35,6056,155,460,307366,bdf38fa8-4284-4ae1-a0ce-3a95f6e0c39c
Tincuța Nistor,tincuțanistor,tincuțanistor@141.ro,3161225364641,1932-03-22,"Intrarea Suciu Nr. 72, Berceni, 555083",0257 343 641,70:f4:08:07:e1:4a,159.209.68.187,RO48EHOM1037236510401980,2025-04-08 17:27:35,25897,557,573,1859860,77190cfa-c70e-43da-b091-cab40eb726bc
Marcu Nemeș,marcunemeș,marcunemeș@acasa.ro,8730126385575,1940-01-19,"Bulevardul Nistor Nr. 530 Bl. 64  Sc. 24 Ap. 910, Sebes, 483271",0723 171 937,1a:11:9b:ec:53:0d,110.229.83.222,RO54RWPS6131369687338623,2025-04-08 17:27:35,369,128,307,1386957,c0551712-a98b-4427-996e-45ea5a05bd2c
Raluca Aanei,ralucaaanei,ralucaaanei@post.ro,3170219383864,1959-11-27,"Soseaua Dumitrescu, Vatra Dornei, 145230",0239 902 814,dc:93:c7:60:fc:ac,158.220.206.35,RO53KCFC5106554300730859,2025-04-08 17:27:35,11619,712,290,792785,69614ea2-abdd-4e2f-841a-ca00c581af19
Aurelian Niță,aurelianniță,aurelianniță@zzup.ro,6180804374750,1979-02-04,"Drumul Stănescu, Peretu, 548692",0265 719 743,54:4c:7f:6e:7f:b5,3.156.241.176,RO22XDDA8756145532907506,2025-04-08 17:27:35,9626,675,297,556255,69574783-fd03-4d7c-af90-0280393fee78
Luiza Gheorghiu,luizagheorghiu,luizagheorghiu@kappa.ro,1140923407362,1968-08-26,"Aleea Relu Dumitrescu, Iernut, 784860",0737 372 891,cc:2c:f6:f4:ba:05,209.101.89.0,RO28QJRI0163667017944364,2025-04-08 17:27:35,9654,196,255,1804228,9163344e-1903-4768-b9b7-63ec924bca2b
Călin Barbu,călinbarbu,călinbarbu@141.ro,2210817058851,1966-04-29,"Soseaua Dinu Nr. 718 Bl. 53  Sc. 38 Ap. 987, Dumbraveni, 693685",0268 579 640,1a:7f:54:d9:58:69,89.89.98.25,RO06IVXL8198082269365065,2025-04-08 17:27:35,23662,455,307,1328496,1f612a8a-0952-4651-ad72-9b12bba86f56
Octav Diaconu,octavdiaconu,octavdiaconu@141.ro,5500621171477,1955-09-11,"Intrarea Ion Dumitrescu Nr. 146, Rasinari, 652364",0762 324 154,b0:5e:c0:99:b0:f1,145.157.56.189,RO28GYRQ8271563312888990,2025-04-08 17:27:35,1595,831,163,1914600,6bec2bd0-dc28-4d02-b100-a24d15edf082
Narcisa Suciu,narcisasuciu,narcisasuciu@email.ro,7680806265397,1916-02-15,"Bulevardul Nicolae Preda Nr. 756, Valea Caselor (Dragasani), 867925",0253 303 587,ae:50:be:7c:41:f1,173.92.153.208,RO60DPZY4273951208745035,2025-04-08 17:27:35,35737,377,723,375600,9073d67d-0d35-4aa8-9055-0ec51907cd3b
Cristea Tabacu,cristeatabacu,cristeatabacu@acasa.ro,8230120094616,2008-06-11,"Aleea Stănescu, Breaza de Sus, 737644",0763 654 570,2a:55:cd:76:6a:18,186.127.180.221,RO77FLPN9617776124596104,2025-04-08 17:27:35,16772,429,191,1206507,2c277aad-98af-43af-a050-067cde689f37
Nelu Ababei,neluababei,neluababei@zzup.ro,8970525225814,1986-12-17,"Drumul Floare Ene Nr. 225 Bl. 74  Sc. 28 Ap. 148, Dragu-Brad, 154196",0724 967 183,74:f7:a6:f7:b4:39,182.48.173.97,RO96WRFE3596599621889317,2025-04-08 17:27:35,17073,296,683,811926,fc602ceb-169a-49d2-b57e-ba3d467f0e6c
Mugur Albu,muguralbu,muguralbu@acasa.ro,2021221096404,2006-10-02,"Intrarea Aanei, Siria, 976764",0235 224 472,72:09:95:5e:7f:81,144.138.9.106,RO86NWLL0690397231552313,2025-04-08 17:27:35,14494,719,752,1034947,677c10db-3c38-45fa-a035-809e993154d6
Mărioara Stănescu,mărioarastănescu,mărioarastănescu@email.ro,7600308384881,1984-01-10,"Strada Nistor Nr. 32 Bl. 18  Sc. 78 Ap. 582, Murfatlar, 544421",0237 011 980,0e:44:3e:85:0d:45,200.221.108.128,RO29KQCH1807985655255860,2025-04-08 17:27:35,16168,545,738,315285,ceaebc5b-e7ff-4416-bb29-7e2bf9b07259
Sorina Niță,sorinaniță,sorinaniță@gmail.com,4631131356486,1936-04-01,"Strada Dinu Nr. 308 Bl. 14  Sc. 92 Ap. 884, Peretu, 974102",0732 105 133,70:bc:69:26:14:b9,101.226.189.62,RO60UDHC0636334076336275,2025-04-08 17:27:35,11646,623,12,1532952,fa8a0001-32be-43eb-92c2-78a25d6194a4
Dumitra Albu,dumitraalbu,dumitraalbu@gmail.com,5111216033642,1926-10-04,"Intrarea Suciu, Videle, 802927",0759 598 860,3a:c4:07:86:41:1c,91.210.157.173,RO59MBDX0969767314330293,2025-04-08 17:27:35,22676,518,185,1454673,0fe166eb-d9cf-4639-b9ed-03cfb3b273d4
Liviu Nistor,liviunistor,liviunistor@acasa.ro,8750223196737,1961-11-07,"Soseaua Dinu Nr. 631 Bl. 41  Sc. 60 Ap. 536, Peretu, 392217",0253 658 612,5e:e0:c9:ff:79:bc,34.54.187.32,RO73RDML4516500687734631,2025-04-08 17:27:35,9064,406,519,384295,94b2b29a-997d-4692-8119-d30f137a3872
Alex Oprea,alexoprea,alexoprea@kappa.ro,3850901324279,1921-01-11,"Strada Ionescu Nr. 609, Tasnad, 410325",0730 357 775,f4:ab:66:40:76:b1,49.206.34.5,RO35OZGC5217095735710263,2025-04-08 17:27:35,16595,446,188,1214531,d724bd76-cbe3-459b-97e9-dd152cce0f13
Rebeca Mocanu,rebecamocanu,rebecamocanu@kappa.ro,4960721441184,1978-11-28,"Bulevardul Mocanu Nr. 57 Bl. 81  Sc. 15 Ap. 166, Slobozia, 623767",0240 465 627,5e:0c:75:5d:f2:21,30.83.37.42,RO92FUWS9417606669642063,2025-04-08 17:27:35,34370,185,566,1173220,db8677a8-9b45-4a7f-ada2-b425ba206f40
Salomea Oprea,salomeaoprea,salomeaoprea@email.ro,1590703056131,1972-01-12,"Drumul Tabacu Nr. 58, Comanesti, 833433",0755 383 686,da:01:2b:98:9b:cc,61.117.170.162,RO94KZTZ7096061082040534,2025-04-08 17:27:35,7271,902,415,264744,260b526a-b6e7-4269-8082-19250a175803
Florina Nistor,florinanistor,florinanistor@acasa.ro,2950730212557,1999-07-03,"Strada Visarion Nistor Nr. 29 Bl. 24  Sc. 44 Ap. 826, Ludus, 476113",0732 159 073,7c:93:ab:8f:22:55,70.227.83.9,RO02JHTO3193254361442643,2025-04-08 17:27:35,24593,423,795,474917,c3f61c81-2324-4115-a9ec-f3ce46580ae4
Iosefina Georgescu,iosefinageorgescu,iosefinageorgescu@kappa.ro,4351112164084,1933-03-21,"Bulevardul Cipriana Ababei Nr. 290, Nadlac, 247039",0241 193 252,12:3c:03:0c:d6:6d,41.62.102.9,RO95XLIX4254828277346491,2025-04-08 17:27:35,22049,207,694,98742,47d3ad27-6f56-4e10-bfd2-03ddabc68ee7
Carla Toma,carlatoma,carlatoma@post.ro,7621209162416,2017-08-03,"Soseaua Grigore Ioniță, Giroc, 902661",0234 362 404,18:6c:df:47:7d:d2,4.85.145.9,RO83YFJU3944425944095831,2025-04-08 17:27:35,27243,859,241,374048,9b9cf236-97ed-4b9e-8e48-18cf65b4587c
Cătălina Toma,cătălinatoma,cătălinatoma@kappa.ro,1601131086054,1986-03-10,"Bulevardul Eftimie Nr. 430, Apahida, 913015",0769 118 112,36:1a:15:9a:9d:b9,195.99.29.203,RO87HGMC6433816536335825,2025-04-08 17:27:35,11325,0,17,1707830,d0368d73-513d-4730-97d7-9deae7aa38f3
Eugen Stan,eugenstan,eugenstan@post.ro,1830318518270,1941-06-20,"Drumul Oprea, Gaesti, 523977",0250 624 826,30:a4:c5:26:f3:83,200.255.228.27,RO57GWEF4954772079213819,2025-04-08 17:27:35,11475,682,427,106967,1987ecab-44a9-44b6-9216-f16a60d32e93
Adelina Dumitrescu,adelinadumitrescu,adelinadumitrescu@email.ro,2651222277764,1974-10-24,"Aleea Nistor, Boldesti-Scaeni, 434166",0734 711 395,62:e8:b4:f8:47:c1,117.223.105.28,RO59LVGI8669158396488559,2025-04-08 17:27:35,21591,733,472,350737,642f2fea-6928-4de1-b1c2-43ff251f9281
Ortansa Preda,ortansapreda,ortansapreda@acasa.ro,6720715126568,1920-03-25,"Drumul Marin Nr. 39 Bl. 46  Sc. 72 Ap. 163, Sangeorgiu de Mures, 512731",0766 476 272,c4:a3:91:ad:79:3c,5.28.176.192,RO53RPPX7138539216602434,2025-04-08 17:27:35,29860,129,156,834947,79ad509f-9867-41d2-9fd6-250db1308805
Ariadna Voinea,ariadnavoinea,ariadnavoinea@gmail.com,5250902016675,2001-07-14,"Bulevardul Nistor, Blaj, 677859",0785 994 671,3c:db:64:01:07:8a,216.118.254.250,RO64UMAL0657966799780492,2025-04-08 17:27:35,3818,277,790,865271,91826bd5-5e3e-472d-bfe0-27304c31b548
Tudor Eftimie,tudoreftimie,tudoreftimie@acasa.ro,7621012526841,2016-03-21,"Strada Ileana Albu, Beius, 972787",0788 440 694,56:e6:4b:ee:b1:be,159.203.179.64,RO17GYMV2765508910502969,2025-04-08 17:27:35,25391,991,238,826208,7f640b86-20aa-40a2-b8a1-8d3f4881a8c9
Ana Ababei,anaababei,anaababei@zzup.ro,7350323298766,1957-08-11,"Drumul Lucia Manole Nr. 18 Bl. 99  Sc. 99 Ap. 880, Galati, 942510",0785 971 664,04:c7:a7:e2:92:0f,45.179.246.247,RO84INWI7620005095939086,2025-04-08 17:27:35,31634,533,468,1644838,3f148990-4b6f-4db8-b09e-5f510acc4214
Mirona Nistor,mironanistor,mironanistor@gmail.com,8470117262918,2012-07-08,"Aleea Stan, Borsa, 606981",0711 321 000,24:28:9e:a5:dd:ba,85.81.82.18,RO06SEJM9997152801667849,2025-04-08 17:27:35,21237,647,430,1742748,c79e73fd-93db-4b15-9565-199581bba59e
